3939,288-0,995
3879,519-0,984
3819,749-0,985
3762,697-0,986
3730,096-0,960
3721,945-0,930
3716,512-0,904
3711,078-0,879
3711,078-0,856
3708,361-0,830
3705,645-0,803
3703,834-0,769
3670,327-0,651
3670,327-0,631
3678,477-0,615
3636,820-0,802
3640,442-0,762
3632,292-0,840
3626,858-0,885
3629,575-0,858
3621,425-0,909
3615,991-0,933
3602,407-0,963
3564,372-0,992
3504,603-0,991
3444,834-0,990
3385,065-0,989
3325,296-0,988
3265,526-0,986
3205,757-0,980
3145,988-0,984
3094,369-0,973
3067,202-0,943
3059,051-0,909
3053,618-0,891
3051,806-0,858
3048,184-0,818
3042,751-0,798
3042,751-0,776
3040,939-0,743
3037,317-0,714
3037,317-0,691
3034,600-0,666
3031,883-0,639
3031,883-0,616
3030,072-0,585
3026,450-0,559
3026,450-0,536
3024,639-0,503
3021,016-0,476
3021,016-0,453
3019,205-0,420
3015,583-0,391
3015,583-0,368
3013,772-0,335
3010,149-0,306
3010,149-0,274
3004,716-0,255
3004,716-0,222
2999,282-0,189
2974,831-0,108
2915,741-0,175
2890,611-0,219
2882,461-0,250
2877,027-0,285
2870,688-0,314
2866,160-0,354
2859,821-0,412
2863,443-0,383
2855,293-0,474
2858,010-0,445
2849,859-0,529
2852,576-0,501
2844,426-0,579
2847,142-0,552
2838,087-0,633
2841,709-0,602
2833,559-0,672
2828,125-0,702
2822,691-0,730
2817,258-0,756
2811,824-0,784
2800,957-0,819
2790,090-0,844
2773,789-0,872
2752,055-0,892
2730,321-0,918
2705,870-0,945
2662,401-0,965
2602,632-0,983
2542,863-0,994
2483,094-0,991
2423,325-0,989
2363,556-0,992
2303,787-0,996
2244,017-0,994
2184,248-0,993
2124,479-0,992
2064,710-0,991
2004,941-0,979
1958,756-0,959
1912,570-0,949
1852,801-0,980
1793,032-0,989
1733,263-0,977
1673,494-0,990
1613,725-0,993
1562,106-0,979
1532,221-0,958
1518,637-0,931
1508,676-0,899
1496,903-0,868
1486,036-0,839
1473,811-0,800
1461,585-0,769
1447,096-0,738
1447,096-0,722
1431,700-0,699
1428,984-0,663
1423,550-0,645
1423,550-0,623
1423,550-0,600
1421,739-0,568
1378,723-0,511
1404,533-0,483
1382,798-0,449
1396,382-0,421
1393,666-0,393
1394,571-0,367
1355,631-0,627
1358,347-0,600
1358,347-0,571
1350,197-0,679
1352,914-0,650
1344,764-0,713
1312,162-0,795
1282,278-0,720
1276,844-0,697
1275,033-0,664
1271,410-0,624
1241,526-0,574
1238,266-0,548
1252,393-0,535
1208,925-0,657
1203,491-0,690
1176,323-0,747
1138,288-0,691
1132,855-0,666
1127,421-0,638
1124,704-0,603
1119,271-0,587
1119,271-0,565
1117,460-0,532
1113,837-0,503
1113,837-0,471
1108,404-0,455
1108,404-0,432
1108,404-0,401
1102,970-0,385
1102,970-0,353
1097,537-0,335
1097,537-0,302
1092,103-0,281
1092,103-0,259
1092,103-0,236
1090,292-0,205
1059,502-0,082
1028,712-0,209
1024,184-0,273
1026,900-0,244
1018,750-0,327
1021,467-0,300
1013,316-0,379
1016,033-0,350
1006,977-0,439
1010,600-0,408
1002,449-0,501
1005,166-0,474
997,016-0,577
999,733-0,550
999,733-0,528
990,677-0,650
994,299-0,621
994,299-0,598
986,149-0,711
988,865-0,683
980,715-0,746
969,848-0,774
936,859-0,797
929,096-0,827
884,269-0,747
881,553-0,717
892,614-0,688
855,743-0,780
849,404-0,834
853,026-0,805
843,971-0,876
828,575-0,916
804,124-0,932
776,957-0,963
733,488-0,983
673,301-0,978
613,950-0,971
554,181-0,978
507,452-0,977
483,544-0,954
456,377-0,935
456,377-0,903
3905,405-0,984
3882,883-0,991
3865,991-0,971
3849,099-0,984
3843,468-0,978
3798,423-0,991
3792,793-0,989
3792,793-0,989
3775,901-1,001
3775,901-0,991
3742,117-0,976
3702,703-0,742
3697,072-0,701
3697,072-0,665
3685,811-0,661
3680,180-0,637
3652,027-0,689
3640,766-0,734
3477,477-0,976
2998,874-0,170
2998,874-0,151
2993,243-0,134
2993,243-0,119
1422,297-0,530
1416,667-0,459
1411,036-0,410
1399,775-0,429
1371,622-0,479
1287,162-0,753
1253,378-0,521
1253,378-0,547
1247,748-0,536
1225,225-0,536
915,541-0,841
915,541-0,746
909,910-0,770
954,955-0,800
904,279-0,712
904,279-0,676
876,126-0,734
876,126-0,693
893,018-0,710
729,730-0,995
718,468-0,995
712,838-0,976
667,793-0,976
667,793-0,997
650,901-0,967
639,640-0,984
628,378-0,965
622,748-0,952
605,856-0,976
583,333-0,978
583,333-0,978
572,072-0,971
560,811-0,974
555,180-0,978
532,658-0,976
515,766-0,984
510,135-0,984
510,135-0,984
493,243-0,952
476,351-0,965
470,721-0,933
459,459-0,890
1095,721-0,166
1095,721-0,131
1033,784-0,119
1028,153-0,161
1022,523-0,185
1095,721-0,185
1365,991-0,541
2953,829-0,144
2942,568-0,179
2914,414-0,168
2891,892-0,174
2897,523-0,187
