1439,374-1,000
1393,091-1,000
1353,598-0,996
1323,457-0,826
1322,624-0,750
1322,624-0,701
1322,624-0,651
1322,624-0,580
1283,707-0,991
1235,894-0,996
1191,511-0,993
1151,667-0,995
1095,898-0,994
987,799-0,991
945,269-0,989
897,734-0,990
853,119-0,991
806,511-0,990
762,101-0,988
710,516-0,989
664,233-0,987
624,204-0,982
601,271-0,447
595,712-0,110
588,762-0,320
588,762-0,206
580,423-0,798
576,253-0,928
551,235-1,005
505,369-1,013
459,502-0,992
1473,585-1,002
1337,736-0,973
1339,623-0,932
1337,736-0,887
1335,849-0,848
1333,962-0,826
1324,528-0,861
1326,415-0,797
1322,642-0,545
1313,208-0,836
1307,547-0,899
1307,547-0,957
1069,811-0,990
1041,509-0,998
1011,321-0,998
607,547-0,934
609,434-0,797
609,434-0,850
601,887-0,703
601,887-0,547
605,660-0,387
605,660-0,292
605,660-0,225
601,887-0,161
584,906-0,393
583,019-0,534
581,132-0,618
583,019-0,719
583,019-0,858
575,472-0,967
530,189-1,004
505,660-1,037
498,113-1,018
492,453-1,002
488,679-0,994
484,906-0,986
477,358-0,992
469,811-0,996
464,151-0,996
458,491-0,990
449,057-0,986
447,170-0,986
439,623-0,986
439,623-0,990
437,736-0,998
432,075-1,008
432,075-1,012
430,189-1,021
424,528-1,031
416,981-1,037
415,094-1,037
409,434-1,027
403,774-1,014
401,887-1,010
594,340-0,079
584,906-0,169
